School ID,School Name,Network,Subject,Grade,2014 # Tested,2014 % Students Making National Average Growth,2014 National School Growth Percentile,2015 # Tested,2015 % Students Making National Average Growth,2015 National School Growth Percentile,2016 # Tested,2016 % Students Making National Average Growth,2016 National School Growth Percentile
400035,CHICAGO MATH & SCIENCE HS,Charter,READING,Grades 3-8 Combined,195,60.5,85,213,57.3,54,221,58.8,70
400036,CHICAGO VIRTUAL,Charter,MATH,Grade 3,39,53.8,52,38,23.7,13,46,37,10
400036,CHICAGO VIRTUAL,Charter,MATH,Grade 4,47,42.6,17,49,42.9,21,47,53.2,16
400036,CHICAGO VIRTUAL,Charter,MATH,Grade 5,46,43.5,40,52,53.8,42,52,42.3,15
400036,CHICAGO VIRTUAL,Charter,MATH,Grade 6,62,50,30,49,42.9,25,58,58.6,52
400036,CHICAGO VIRTUAL,Charter,MATH,Grade 7,59,45.8,36,59,49.2,26,58,43.1,12
400036,CHICAGO VIRTUAL,Charter,MATH,Grade 8,58,39.7,25,69,60.9,67,62,51.6,39
400036,CHICAGO VIRTUAL,Charter,MATH,Grades 3-8 Combined,311,45.7,33,316,47.5,34,323,48,22
400036,CHICAGO VIRTUAL,Charter,READING,Grade 3,39,64.1,79,38,47.4,14,46,52.2,6
400036,CHICAGO VIRTUAL,Charter,READING,Grade 4,47,36.2,20,49,53.1,52,45,62.2,78
400036,CHICAGO VIRTUAL,Charter,READING,Grade 5,45,60,78,53,50.9,70,52,51.9,26
400036,CHICAGO VIRTUAL,Charter,READING,Grade 6,62,50,69,49,51,67,55,67.3,83
400036,CHICAGO VIRTUAL,Charter,READING,Grade 7,59,61,92,60,71.7,90,59,45.8,11
400036,CHICAGO VIRTUAL,Charter,READING,Grade 8,58,58.6,81,69,62.3,52,61,67.2,64
400036,CHICAGO VIRTUAL,Charter,READING,Grades 3-8 Combined,310,54.8,77,318,57.2,62,318,57.9,44
400039,ERIE,Charter,MATH,Grade 3,28,57.1,50,19,68.4,66,21,19,1
400039,ERIE,Charter,MATH,Grade 4,28,78.6,88,32,50,64,22,22.7,9
400039,ERIE,Charter,MATH,Grade 5,34,64.7,91,28,35.7,25,34,17.6,6
400039,ERIE,Charter,MATH,Grade 6,41,68.3,71,37,0,1,35,20,6
400039,ERIE,Charter,MATH,Grade 7,39,64.1,67,39,76.9,92,32,68.8,99
400039,ERIE,Charter,MATH,Grade 8,43,44.2,25,40,50,45,38,52.6,48
400039,ERIE,Charter,MATH,Grades 3-8 Combined,213,62,67,195,45.6,31,182,35.2,24
400039,ERIE,Charter,READING,Grade 3,28,53.6,35,19,47.4,64,21,47.6,3
400039,ERIE,Charter,READING,Grade 4,28,78.6,97,32,50,27,22,59.1,55
400039,ERIE,Charter,READING,Grade 5,34,44.1,13,28,25,1,34,58.8,48
400039,ERIE,Charter,READING,Grade 6,41,48.8,66,37,40.5,35,36,63.9,90
400039,ERIE,Charter,READING,Grade 7,39,66.7,76,39,69.2,97,32,75,99
400039,ERIE,Charter,READING,Grade 8,43,51.2,14,40,57.5,50,38,60.5,55
400039,ERIE,Charter,READING,Grades 3-8 Combined,213,56.3,55,195,49.7,48,183,61.7,70
400040,FRAZIER CHARTER,Charter,MATH,Grade 3,39,71.8,99,43,34.9,28,44,31.8,4
400040,FRAZIER CHARTER,Charter,MATH,Grade 4,43,51.2,21,46,41.3,27,44,22.7,6
